Month	Year	Sample_ID	Library	Category	Sample_type	Storage_conditions	Market_type	GBS_isolated	GBS_map_detected	GBS_map_seqTyped
April	2022	M0024	M0024	Fish	Snakehead	Chilled	Supermarket	No	No	No
April	2022	M0025	M0025	Fish	Tilapia	On ice	Supermarket	No	No	No
April	2022	M0026	M0026	Fish	Asian bighead carp	On ice	Supermarket	No	No	No
August	2022	M0084	M0084	Fish	Tilapia	On ice	Supermarket	No	No	No
August	2022	M0047	M0047	Fish	Snakehead	Chilled	Supermarket	No	No	No
August	2022	M0048	M0048	Fish	Snakehead	Frozen	Supermarket	No	No	No
August	2022	M0049	M0049	Fish	Tilapia	On ice	Supermarket	No	No	No
August	2022	M0050	M0050	Fish	Asian bighead carp	On ice	Supermarket	No	No	No
August	2022	M0051	M0051	Fish	Tilapia	Live	Supermarket	No	No	No
August	2022	M0052	M0052	Fish	Tilapia	On ice	Wet market	No	No	No
August	2022	M0053	M0053	Fish	Snakehead	On ice	Wet market	No	No	No
August	2022	M0085	M0085	Fish	Snakehead	On ice	Wet market	No	No	No
September	2021	M0004	M0004	Fish	Tilapia	Frozen	Supermarket	Yes	Yes	Yes
June	2022	M0027	M0027	Fish	Snakehead	Frozen	Supermarket	Yes	Yes	Yes
June	2022	M0028	M0028	Fish	Tilapia	Chilled	Supermarket	Yes	Yes	Yes
June	2022	M0029	M0029	Fish	Tilapia	Chilled	Supermarket	Yes	Yes	No
June	2022	M0030	M0030	Fish	Tilapia	Chilled	Supermarket	Yes	Yes	No
July	2022	M0045	M0045	Fish	Tilapia	Live	Supermarket	Yes	Yes	Yes
July	2022	M0046	M0046	Fish	Tilapia	Chilled	Supermarket	Yes	Yes	Yes
October	2022	M0086	M0086	Fish	Asian bighead carp	On ice	Supermarket	Yes	Yes	Yes
November	2022	M0087	M0087	Fish	Tilapia	Chilled	Supermarket	Yes	Yes	Yes
