All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    M0004.scaffolds  M0024.spades.step  M0025.spades.step  M0026.spades.step  M0027.final_assembly  M0028.final_assembly  M0029.final_assembly  M0030.final_assembly  M0045.spades.step  M0046.spades.step  M0047.spades.step  M0048.spades.step  M0049.spades.step  M0050.spades.step  M0051.spades.step  M0052.spades.step  M0053.spades.step  M0084.spades.step  M0085.spades.step  M0086.spades.step  M0087.spades.step
# contigs (>= 0 bp)         40               19                 122                70                 130                   80                    197                   664                   41                 42                 10                 109                58                 75                 52                 72                 37                 32                 80                 124                77               
# contigs (>= 1000 bp)      40               19                 122                70                 130                   80                    197                   664                   41                 42                 10                 109                58                 75                 52                 72                 37                 32                 80                 124                77               
# contigs (>= 5000 bp)      22               2                  11                 4                  53                    33                    66                    25                    18                 20                 3                  14                 3                  4                  3                  3                  3                  4                  5                  29                 34               
# contigs (>= 10000 bp)     18               2                  3                  1                  41                    29                    45                    2                     16                 18                 2                  5                  0                  1                  0                  1                  1                  2                  1                  21                 30               
# contigs (>= 25000 bp)     13               0                  0                  0                  26                    23                    23                    0                     12                 13                 0                  0                  0                  0                  0                  0                  0                  0                  0                  18                 21               
# contigs (>= 50000 bp)     11               0                  0                  0                  15                    14                    12                    0                     10                 11                 0                  0                  0                  0                  0                  0                  0                  0                  0                  14                 14               
Total length (>= 0 bp)      2099407          57723              288519             146129             2181248               2103086               2019628               1449255               2083749            2080341            48488              313494             116507             154996             105952             142984             89631              85119              168939             2276113            2138549          
Total length (>= 1000 bp)   2099407          57723              288519             146129             2181248               2103086               2019628               1449255               2083749            2080341            48488              313494             116507             154996             105952             142984             89631              85119              168939             2276113            2138549          
Total length (>= 5000 bp)   2065940          30587              91915              30476              2036979               2010720               1781657               171074                2040305            2037882            32284              144319             19817              31489              22010              29951              27517              35367              41738              2123184            2054366          
Total length (>= 10000 bp)  2035956          30587              38943              11924              1951449               1980851               1620488               34523                 2025401            2022547            25477              81923              0                  12020              0                  18079              14583              22766              18135              2061927            2026390          
Total length (>= 25000 bp)  1955978          0                  0                  0                  1707175               1871470               1255244               0                     1946220            1932087            0                  0                  0                  0                  0                  0                  0                  0                  0                  1999265            1875861          
Total length (>= 50000 bp)  1886874          0                  0                  0                  1310538               1534101               874920                0                     1877091            1862988            0                  0                  0                  0                  0                  0                  0                  0                  0                  1859834            1621471          
# contigs                   40               19                 122                70                 130                   80                    197                   664                   41                 42                 10                 109                58                 75                 52                 72                 37                 32                 80                 124                77               
Largest contig              504860           18422              14530              11924              157365                293975                96296                 18052                 505616             505457             13509              21841              8025               12020              8026               18079              14583              11987              18135              452497             341812           
Total length                2099407          57723              288519             146129             2181248               2103086               2019628               1449255               2083749            2080341            48488              313494             116507             154996             105952             142984             89631              85119              168939             2276113            2138549          
GC (%)                      35.27            39.29              39.18              38.07              35.58                 35.34                 35.42                 35.72                 35.25              35.26              38.79              38.61              40.30              39.39              40.12              38.58              39.20              39.53              39.56              35.56              35.44            
N50                         229348           12165              2760               2234               63564                 81942                 40952                 2372                  229388             229388             11968              4793               1916               2401               2162               1998               2821               4432               2153               126789             101194           
N75                         91337            1431               1455               1375               30385                 49254                 14924                 1596                  91695              91417              4809               1714               1338               1335               1335               1273               1463               1607               1339               58437              53153            
L50                         3                2                  27                 18                 12                    7                     15                    194                   3                  3                  2                  17                 15                 19                 13                 17                 8                  6                  20                 5                  7                
L75                         7                7                  63                 40                 24                    15                    37                    380                   6                  7                  4                  49                 33                 42                 29                 40                 19                 15                 44                 12                 14               
# N's per 100 kbp           9.19             126.47             283.86             62.96              20.63                 15.36                 971.27                82.04                 2.88               0.48               0.00               62.84              290.97             58.71              235.96             6.99               61.36              34.07              174.62             12.52              12.95            
