Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
M0004.scaffolds	40	40	22	18	13	11	2099407	2099407	2065940	2035956	1955978	1886874	40	504860	2099407	35.27	229348	91337	3	7	9.19
M0024.spades.step	19	19	2	2	0	0	57723	57723	30587	30587	0	0	19	18422	57723	39.29	12165	1431	2	7	126.47
M0025.spades.step	122	122	11	3	0	0	288519	288519	91915	38943	0	0	122	14530	288519	39.18	2760	1455	27	63	283.86
M0026.spades.step	70	70	4	1	0	0	146129	146129	30476	11924	0	0	70	11924	146129	38.07	2234	1375	18	40	62.96
M0027.final_assembly	130	130	53	41	26	15	2181248	2181248	2036979	1951449	1707175	1310538	130	157365	2181248	35.58	63564	30385	12	24	20.63
M0028.final_assembly	80	80	33	29	23	14	2103086	2103086	2010720	1980851	1871470	1534101	80	293975	2103086	35.34	81942	49254	7	15	15.36
M0029.final_assembly	197	197	66	45	23	12	2019628	2019628	1781657	1620488	1255244	874920	197	96296	2019628	35.42	40952	14924	15	37	971.27
M0030.final_assembly	664	664	25	2	0	0	1449255	1449255	171074	34523	0	0	664	18052	1449255	35.72	2372	1596	194	380	82.04
M0045.spades.step	41	41	18	16	12	10	2083749	2083749	2040305	2025401	1946220	1877091	41	505616	2083749	35.25	229388	91695	3	6	2.88
M0046.spades.step	42	42	20	18	13	11	2080341	2080341	2037882	2022547	1932087	1862988	42	505457	2080341	35.26	229388	91417	3	7	0.48
M0047.spades.step	10	10	3	2	0	0	48488	48488	32284	25477	0	0	10	13509	48488	38.79	11968	4809	2	4	0.00
M0048.spades.step	109	109	14	5	0	0	313494	313494	144319	81923	0	0	109	21841	313494	38.61	4793	1714	17	49	62.84
M0049.spades.step	58	58	3	0	0	0	116507	116507	19817	0	0	0	58	8025	116507	40.30	1916	1338	15	33	290.97
M0050.spades.step	75	75	4	1	0	0	154996	154996	31489	12020	0	0	75	12020	154996	39.39	2401	1335	19	42	58.71
M0051.spades.step	52	52	3	0	0	0	105952	105952	22010	0	0	0	52	8026	105952	40.12	2162	1335	13	29	235.96
M0052.spades.step	72	72	3	1	0	0	142984	142984	29951	18079	0	0	72	18079	142984	38.58	1998	1273	17	40	6.99
M0053.spades.step	37	37	3	1	0	0	89631	89631	27517	14583	0	0	37	14583	89631	39.20	2821	1463	8	19	61.36
M0084.spades.step	32	32	4	2	0	0	85119	85119	35367	22766	0	0	32	11987	85119	39.53	4432	1607	6	15	34.07
M0085.spades.step	80	80	5	1	0	0	168939	168939	41738	18135	0	0	80	18135	168939	39.56	2153	1339	20	44	174.62
M0086.spades.step	124	124	29	21	18	14	2276113	2276113	2123184	2061927	1999265	1859834	124	452497	2276113	35.56	126789	58437	5	12	12.52
M0087.spades.step	77	77	34	30	21	14	2138549	2138549	2054366	2026390	1875861	1621471	77	341812	2138549	35.44	101194	53153	7	14	12.95
